gene_name	source
SLC2A3	retrogeneDB2-retrocopy
RPA3	retrogeneDB2-retrocopy
NDUFB9	retrogeneDB2-retrocopy
RPS18	retrogeneDB2-retrocopy
GTF2F2	retrogeneDB2-retrocopy
RBPMS2	retrogeneDB2-retrocopy
MAPK6	retrogeneDB2-retrocopy
MYCBP	retrogeneDB2-retrocopy
DYNLT1	retrogeneDB2-retrocopy
AZI2	retrogeneDB2-retrocopy
PRAMEF10	retrogeneDB2-retrocopy
PSMC6	retrogeneDB2-retrocopy
FAU	retrogeneDB2-retrocopy
TFAM	retrogeneDB2-retrocopy
FXYD6	retrogeneDB2-retrocopy
C9orf85	retrogeneDB2-retrocopy
WDR82	retrogeneDB2-retrocopy
CAPZA1	retrogeneDB2-retrocopy
CNOT7	retrogeneDB2-retrocopy
CALM1	retrogeneDB2-retrocopy
PPP1R1A	retrogeneDB2-retrocopy
RNF14	retrogeneDB2-retrocopy
RHOA	retrogeneDB2-retrocopy
C1GALT1	retrogeneDB2-retrocopy
ANP32B	retrogeneDB2-retrocopy
LDHAL6A	retrogeneDB2-retrocopy
ARF4	retrogeneDB2-retrocopy
EIF3K	retrogeneDB2-retrocopy
RAP1B	retrogeneDB2-retrocopy
NT5C	retrogeneDB2-retrocopy
EIF3I	retrogeneDB2-retrocopy
FAM96A	retrogeneDB2-retrocopy
CACYBP	retrogeneDB2-retrocopy
EIF1	retrogeneDB2-retrocopy
SDCBP	retrogeneDB2-retrocopy
MTCH1	retrogeneDB2-retrocopy
AC007390.5	retrogeneDB2-retrocopy
PMM2	retrogeneDB2-retrocopy
LDHB	retrogeneDB2-retrocopy
MRPS36	retrogeneDB2-retrocopy
DCAF4	retrogeneDB2-retrocopy
NFYC	retrogeneDB2-retrocopy
NDUFA4L2	retrogeneDB2-retrocopy
ATP1B3	retrogeneDB2-retrocopy
MEMO1	retrogeneDB2-retrocopy
ARHGAP42	retrogeneDB2-retrocopy
TMX1	retrogeneDB2-retrocopy
PERP	retrogeneDB2-retrocopy
TMEM98	retrogeneDB2-retrocopy
BCAS2	retrogeneDB2-retrocopy
FAM8A1	retrogeneDB2-retrocopy
FAM162B	retrogeneDB2-retrocopy
CDC14B	retrogeneDB2-retrocopy
SUPT20H	retrogeneDB2-retrocopy
UBE2D1	retrogeneDB2-retrocopy
ATP6V0C	retrogeneDB2-retrocopy
SNRPA1	retrogeneDB2-retrocopy
LAMTOR3	retrogeneDB2-retrocopy
PPP2R5C	retrogeneDB2-retrocopy
ZC3H11A	retrogeneDB2-retrocopy
FXN	retrogeneDB2-retrocopy
TMEM256	retrogeneDB2-retrocopy
PSMB3	retrogeneDB2-retrocopy
7-Sep	retrogeneDB2-retrocopy
ACO2	retrogeneDB2-retrocopy
TRNT1	retrogeneDB2-retrocopy
POMP	retrogeneDB2-retrocopy
MFF	retrogeneDB2-retrocopy
RPA2	retrogeneDB2-retrocopy
CCT5	retrogeneDB2-retrocopy
RBM22	retrogeneDB2-retrocopy
HDHD1	retrogeneDB2-retrocopy
RNASEH1	retrogeneDB2-retrocopy
MRTO4	retrogeneDB2-retrocopy
PAFAH1B2	retrogeneDB2-retrocopy
TARDBP	retrogeneDB2-retrocopy
NFYB	retrogeneDB2-retrocopy
